RPM,FuelBurn
3010.126582278481, 6.9999999999999964
3030.379746835443, 7.0851694915254235
3060.759493670886, 7.1703389830508435
3070.886075949367, 7.1703389830508435
3101.26582278481, 7.2555084745762635
3146.8354430379745, 7.3406779661016905
3162.025316455696, 7.3406779661016905
3202.53164556962, 7.425847457627114
3217.721518987342, 7.425847457627114
3248.1012658227846, 7.511016949152538
3283.5443037974683, 7.596186440677961
3298.73417721519, 7.596186440677961
3329.1139240506327, 7.681355932203388
3364.5569620253164, 7.766525423728808
3410.126582278481, 7.936864406779655
3430.3797468354433, 8.022033898305082
3455.6962025316457, 8.107203389830502
3470.8860759493673, 8.19237288135593
3496.2025316455693, 8.277542372881353
3511.3924050632913, 8.362711864406776
3536.7088607594937, 8.533050847457627
3551.8987341772154, 8.618220338983047
3567.0886075949365, 8.703389830508474
3582.278481012658, 8.788559322033894
3592.4050632911394, 8.873728813559321
3612.658227848101, 9.044067796610168
3627.848101265823, 9.129237288135588
3648.1012658227846, 9.299576271186439
3658.227848101266, 9.384745762711859
3673.4177215189875, 9.469915254237286
3683.5443037974683, 9.555084745762706
3708.860759493671, 9.725423728813553
3724.0506329113923, 9.895762711864403
3739.240506329114, 9.980932203389827
3749.367088607595, 10.06610169491525
3769.6202531645567, 10.236440677966097
3810.126582278481, 10.577118644067792
3830.3797468354433, 10.747457627118642
3860.759493670886, 11.002966101694913
3875.9493670886077, 11.088135593220336
3891.139240506329, 11.258474576271183
3906.3291139240505, 11.343644067796607
3926.5822784810125, 11.513983050847454
3936.7088607594937, 11.599152542372877
3956.9620253164558, 11.769491525423728
3997.46835443038, 12.110169491525419
4012.658227848101, 12.195338983050842
4032.9113924050635, 12.365677966101693
4043.0379746835442, 12.450847457627116
4053.164556962025, 12.53601694915254
4063.2911392405063, 12.621186440677963
4073.4177215189875, 12.706355932203387
4093.6708860759495, 12.876694915254234
4129.113924050633, 13.132203389830504
4159.493670886076, 13.387711864406779
4194.93670886076, 13.643220338983049
4215.189873417722, 13.813559322033893
4245.569620253164, 14.069067796610167
4255.696202531646, 14.15423728813559
4265.822784810127, 14.239406779661014
4286.0759493670885, 14.40974576271186
4306.329113924051, 14.580084745762708
4326.5822784810125, 14.750423728813555
4351.898734177215, 14.920762711864406
4367.088607594937, 15.091101694915253
4382.278481012658, 15.176271186440676
4392.405063291139, 15.2614406779661
4412.658227848102, 15.431779661016947
4443.037974683544, 15.687288135593217
4463.291139240507, 15.857627118644064
4483.544303797469, 16.02796610169491
4498.73417721519, 16.113135593220335
4508.860759493671, 16.19830508474576
4518.987341772152, 16.283474576271182
4549.367088607595, 16.538983050847456
4564.556962025316, 16.62415254237288
4605.06329113924, 16.964830508474574
4620.2531645569625, 17.049999999999997
4635.443037974684, 17.220338983050844
4650.632911392406, 17.305508474576268
4660.7594936708865, 17.390677966101695
4681.012658227848, 17.56101694915254
4701.26582278481, 17.731355932203385
4726.582278481013, 17.901694915254232
4746.835443037975, 18.07203389830508
4756.962025316456, 18.157203389830507
4792.405063291139, 18.412711864406777
4812.658227848102, 18.583050847457624
4843.037974683544, 18.838559322033895
4858.227848101265, 18.92372881355932
4868.354430379747, 19.008898305084745
4893.67088607595, 19.264406779661016
4903.797468354431, 19.34957627118644
4924.050632911392, 19.519915254237283
4949.367088607595, 19.775423728813557
4969.620253164558, 19.945762711864404
4989.873417721519, 20.11610169491525
5081.012658227848, 21.052966101694913
5096.20253164557, 21.22330508474576
5111.392405063291, 21.393644067796608
5126.582278481013, 21.563983050847455
5146.835443037975, 21.819491525423725
5162.025316455696, 21.989830508474576
5177.215189873417, 22.160169491525423
5197.46835443038, 22.41567796610169
5212.658227848102, 22.58601694915254
5232.911392405063, 22.84152542372881
5268.354430379747, 23.26737288135593
5283.544303797469, 23.437711864406776
5303.797468354431, 23.693220338983046
5313.9240506329115, 23.778389830508473
5329.113924050634, 23.94872881355932
5344.303797468355, 24.119067796610167
5359.493670886076, 24.289406779661014
5364.556962025317, 24.374576271186438
5394.93670886076, 24.715254237288132
5410.126582278481, 24.885593220338983
5420.2531645569625, 24.970762711864403
5450.632911392406, 25.3114406779661
5470.886075949367, 25.481779661016947
5486.075949367089, 25.652118644067794
5000, 20.201271186440675
5015.189873417721, 20.37161016949152
5025.316455696203, 20.456779661016945
5035.443037974684, 20.54194915254237
5060.7594936708865, 20.797457627118643
5075.949367088608, 20.96779661016949
5496.202531645569, 25.737288135593218
5516.455696202532, 25.907627118644065
5546.835443037975, 26.16313559322034
5577.215189873418, 26.333474576271186
5587.341772151898, 26.418644067796606
5607.5949367088615, 26.503813559322033
5627.848101265823, 26.588983050847453
5648.101265822785, 26.67415254237288
5673.4177215189875, 26.7593220338983
5698.73417721519, 26.844491525423727
5718.987341772152, 26.92966101694915
5744.303797468355, 27.014830508474574
5784.810126582279, 27.18516949152542
