RPM,Power
3023.06425,33.03274194
3059.967051,34.27580645
3096.869852,35.51887097
3124.546952,36.40677419
3152.224053,37.29467742
3179.901153,38.18258065
3212.191104,39.24806452
3235.255354,39.9583871
3267.545305,41.02387097
3295.222405,41.91177419
3313.673806,42.44451613
3350.576606,43.68758065
3392.092257,44.93064516
3378.253707,44.57548387
3419.769357,45.81854839
3447.446458,46.70645161
3484.349259,47.77193548
3521.252059,48.83741935
3548.92916,49.54774194
3581.21911,50.43564516
3613.509061,51.32354839
3636.573311,51.85629032
3668.863262,52.74419355
3691.927512,53.27693548
3714.991763,53.80967742
3733.443163,54.34241935
3733.443163,54.34241935
3765.733114,55.05274194
3788.797364,55.58548387
3816.474465,56.29580645
3844.151565,57.00612903
3867.215815,57.53887097
3904.118616,58.42677419
3936.408567,59.13709677
3973.311367,60.20258065
4010.214168,61.26806452
4037.891269,61.9783871
4074.794069,63.04387097
4097.85832,63.75419355
4120.92257,64.46451613
4153.212521,65.53
4176.276771,66.24032258
4199.341021,66.95064516
4245.469522,68.37129032
4236.243822,68.01612903
4263.920923,68.90403226
4296.210873,69.96951613
4323.887974,70.85741935
4328.500824,71.035
4351.565074,71.74532258
4379.242175,72.63322581
4397.693575,73.16596774
4416.144975,73.69870968
4443.822076,74.5866129
4457.660626,74.94177419
4471.499176,75.29693548
4503.789127,76.18483871
4517.627677,76.54
4554.530478,77.60548387
4596.046129,78.67096774
4609.884679,79.02612903
4623.723229,79.38129032
4637.561779,79.73645161
4651.400329,80.0916129
4679.07743,80.80193548
4692.91598,81.15709677
4720.593081,81.86741935
4743.657331,82.40016129
4748.270181,82.57774194
4762.108731,82.93290323
4771.334432,83.11048387
4799.011532,83.82080645
4817.462932,84.17596774
4835.914333,84.70870968
4858.978583,85.24145161
4868.204283,85.41903226
4882.042834,85.77419355
4891.268534,85.95177419
4900.494234,86.12935484
4909.719934,86.30693548
4914.332784,86.48451613
4923.558484,86.66209677
4932.784185,86.83967742
4942.009885,87.01725806
4951.235585,87.19483871
4969.686985,87.55
4983.525535,87.90516129
5006.589786,88.26032258
5025.041186,88.61548387
5038.879736,88.97064516
5052.718287,89.14822581
5071.169687,89.5033871
5080.395387,89.68096774
5094.233937,89.85854839
5117.298188,90.21370968
5131.136738,90.39129032
5154.200988,90.74645161
5181.878089,91.1016129
5204.942339,91.45677419
5228.00659,91.81193548
5237.23229,91.98951613
5260.29654,92.34467742
5278.747941,92.52225806
5301.812191,92.87741935
5343.327842,93.41016129
5366.392092,93.76532258
5398.682043,94.12048387
5426.359143,94.47564516
5477.100494,95.0083871
5490.939044,95.18596774
5504.777595,95.36354839
5523.228995,95.54112903
5537.067545,95.71870968
5564.744646,96.07387097
5578.583196,96.25145161
5592.421746,96.42903226
5633.937397,96.96177419
5657.001647,97.13935484
5716.968699,97.84967742
5730.807249,98.02725806
5753.871499,98.20483871
5786.16145,98.38241935
5818.4514,98.73758065
5675.453048,97.31693548
